title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Менеджер по оптовым продажам,150000 - 450000 KZT,Алматы,BMLG-MED,13-07-2023,Коммуникабельность. Ответственность. Знание русского языка. Проявление уважения к коллегам.,Поиск новых клиентов. Поддерживание лояльных отношений со всеми клиентами. Заполнение CRM системы. Входящие и исходящие звонки.,,Нет опыта,Полная занятость,https://hh.ru/vacancy/83380502
Менеджер по продажам,200000 - 900000 KZT,Алматы,Baraholka-Express.kz,03-08-2023,,Звонить по входящим заявкам. Грамотная консультация по продуктам компании. Заключать договоры и закрывать сделки.,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84485620
SMM-менеджер / мобилограф,150000 KZT,Усть-Каменогорск,Богатыренко Юрий Олегович,05-08-2023,Для отдельных 2-х проектов требуется креативно-активный SMM-специалист с успешным опытом работы не менее 1 года. ,"Разработка контент плана. Подготовка, написание постов, реализация конкурсов, акций и тд. Рерайтинг. Генерация идей и отслеживание их исполнение. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84585595
Project Manager,2000 - 3000 USD,Астана,Hdcart PTE,04-08-2023,2+ years of experience in project management. Strong analytical and problem-solving skills. Excellent communication and interpersonal skills. ,"Manage end-to-end creation of online stores, from project initiation to deployment and ongoing maintenance. Develop and maintain detailed...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84563065
Менеджер проектов в концертное агентство,300000 - 800000 KZT,Алматы,Ticketon Events,09-08-2023,Высшее образование. Грамотная речь. Способность легко налаживать новые контакты. Непрерывное отслеживание тенденций и мониторинг рынка. Широкий круг контактов в профессиональной...,Взаимодействие с партнерами на всех стадиях подготовки проекта. Работа с PR-отделом. Составления требований и спецификаций на проект. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84820064
Менеджер отдела кадров,350000 KZT,Алматы,Медицинский центр EMIRMED,03-08-2023,"Опыт работы не менее трех лет. Развитые коммуникативные навыки, организационные способности. Умение работать в режиме многозадачности. Организованность, стрессоустойчивость.",Разработка нормативных документов. Соблюдение внутренних нормативных актов и нормативов. Дисциплина в документообороте согласно своей должности. Ведение кадрового делопроизводства организации.,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/83443493
SMM-менеджер c навыками мобилографии,180000 - 200000 KZT,Астана,SULU.KZ ASTANA,04-08-2023,Наличие портфолио с кейсами!!!! (направить на ватсап свои оформленные страницы). Понимание трендов в медиа индустрии. Умение работать в различных фото...,"Ведение аккаунтов в социальных сетях (Instagram, Tik Tok и др.). Составление контент-плана для социальных сетей. Оформление аккаунта (фото, описание...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84526852
Менеджер по продажам в интернет-бутик,450000 KZT,Алматы,BORK,11-08-2023,,Продажи эксклюзивной бытовой техники и аксессуаров. Предоставление высокого уровня сервиса и соблюдение премиальных стандартов обслуживания. Индивидуальный подход к каждому Клиенту...,,От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/84953950
Офис-менеджер отдела кадров,280000 KZT,Астана,РЕСВИТ,09-08-2023,Умение работать в коллективе (стрессоустойчивость).,"Поиск, отбор, найм и увольнение персонала. Ведение контроля и учет сотрудников. Формирование штатного расписания. Ведение трудовых книжек, учет стажа. ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84807177
Менеджер по продажам в AH BI Group,400000 KZT,Алматы,BI Agent (БиАй агент),17-07-2023,Желание работать и развиваться в сфере продаж недвижимости. Приветствуется опыт работы в сфере продаж и навыки работы с клиентами. ,Работа с клиентами: владельцами и покупателями недвижимости в г. Алматы. Введение активных переговоров. Консультации клиентов по купле/продаже объектов недвижимости. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83522210
Менеджер по продажам (Удаленно),300000 - 600000 KZT,Конаев,МЦФЭР-Казахстан,04-08-2023,,"Мы разрабатываем продукты для коммерческих и государственных учреждений: Выпускаем электронные и печатные журналы: Главбух, Кадровое дело и другие. ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/84528112
Чат - менеджер,500 - 1500 USD,Астана,Соловьев Михаил Олегович,11-08-2023,"Английский язык на уровне Intermediate. Навыки работы в Google Docs, Google Sheets. Умение анализировать результаты. Внимательность к деталям в работе. ","Обработка входящих писем на сайте. Ответы на входящие письма и сообщение. Обработка негативной обратной связи и улаживание конфликтов, поиск решения...",,Нет опыта,Полная занятость,https://hh.ru/vacancy/84447252
Офис-менеджер,250000 KZT,Алматы,City center,08-08-2023,"Нашей миссией является – честность и открытость, которые рождают доверие. - Ответственного и коммуникабельного. - С амбициями и целями. - Умение доводить дела до...","Обеспечивать подготовку и организацию работы офиса. - Подготовка документов, материалов, информации, необходимых для начала работы офиса и текущего решения задач. - ",,Нет опыта,Полная занятость,https://hh.ru/vacancy/84703587
HR менеджер,300000 - 600000 KZT,Алматы,Ғылымбек Жаркасен,28-07-2023,Свободно говорите и пишете на казахском и русском языках. У Вас есть опыт работы HR-менеджером/рекрутером не менее 1...,Качественное закрытие вакансий продуктивными кандидатами в кротчайшие сроки (рекрутинг). Полный контроль всех этапов найма до периода выхода кандидата на стажировку. ,,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84192857
SMM-менеджер,200000 - 300000 KZT,Алматы,Hard skills foundation,01-08-2023,Харизматичный экстраверт. Дополнительное преимущество: 1. Опыт работы в популярных образовательных проектах. 3. Наличие Iphone 12 и выше.,"Список задач: Участие в генерации контент плана, совместно с продюсером и контент менеджером. Создание и ведение аккаунтов в Instagram и...",,Нет опыта,Частичная занятость,https://hh.ru/vacancy/84369524
Менеджер интернет-магазина,300000 - 450000 KZT,Алматы,Вебпак,11-08-2023,Основные категории продукции:,"Пакеты (бумажные, полиэтиленовые, вакуумные, курьерские, зип-локи, полипропиленовые, пакеты майка, с вырубной ручкой...). - Пленки (полиэтиленвые, стрейч, пузырчатая..). - Гофрокороба (Самосборные, четырехклапанные). - ",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/82922673
Менеджер Kaspi магазина,200000 - 400000 KZT,Алматы,MobileGroup,10-08-2023,"Опыт работы с Маркетпэйсами ,Владение разговорными казахским и русским языками , стрессоустойчивость ,знание и умение работать в Excel, умение работать в...","Ведение Kaspi,Forte,Halyk,Jusan магазина под ключ, Прием заказов ,Размещение моделей, создание карточек товаров; описание; спецификации; загрузка фото; отслеживание...",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/83613217
Менеджер в отдел продаж (удаленно),800000 - 1000000 KZT,Алматы,The flow,09-08-2023,"1) дисциплинированный. 2) харизматичный. 3) честный. 4) эмпатичный. 5) клиентоориентированный. 1) опыт в колл - центре, отделе продаж или сервисе обязательно...","3) еженедельный расчет. 4) постоянные конкурсы среди менеджеров, такие как Iphone, поездки на 2 заграницу и кроссы на заказ.",,От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/84839165
